varname,tau_cent_median,sigma_line_median,fwhm_median,logL_median,n_measurements_total,n_hbeta_rows,target_hbeta_log10,target_hbeta_source
1,13.4,948.0,1396.5,43.7,6,4,7.2224563366792465,website
2,89.8,1783.0,4165.0,44.75,3,1,8.379305517750582,website
3,17.4,3787.0,6901.0,43.92,4,1,8.320872965227249,website
4,24.75,1251.0,2115.0,43.425,4,4,7.569724949226159,website
5,27.9,1514.0,2539.0,43.94,7,3,7.710117365111817,website
6,47.1,1921.5,5410.0,43.745000000000005,3,3,8.068037359613786,website
7,16.0,1868.5,4652.5,43.6,4,4,7.611829479498374,website
8,146.9,1971.0,2012.0,44.85,3,1,8.680117858307149,website
10,23.85,1115.0,1504.5,43.62,10,4,7.292477593667784,website
11,150.1,1306.0,3002.0,45.13,2,1,8.331993838042257,website
12,2.58,1376.0,3578.0,42.33,3,3,6.684845361644412,website
13,5.32,859.0,1495.5,43.54,7,2,6.230448921378274,website
14,8.71,2019.5,4331.5,42.629999999999995,2,2,7.398634324538392,website
15,2.31,1528.0,3604.0,42.07,5,1,6.655138434811383,website
16,5.68,1065.5,2095.0,42.48,9,2,6.703291378118662,website
17,111.0,1773.0,1719.0,44.91,2,1,8.466467232740639,website
18,9.855,1686.0,3910.5,42.785,8,2,7.339252634032699,website
19,3.66,755.0,1602.0,42.23,5,1,6.243038048686294,website
20,2.385,710.0,987.5,41.845,4,2,5.886490725172482,website
21,6.82,2310.0,4552.0,42.205,10,3,7.360404054729939,website
23,3.05,659.0,1354.0,42.2,4,1,6.045322978786658,website
24,6.16,516.0,834.0,42.51,3,1,6.139879086401237,website
25,306.8,1777.0,2598.0,45.9,3,1,8.909956978168164,website
26,37.8,1385.0,3415.0,43.64,3,1,7.784117816462923,website
27,4.01,1581.0,3869.0,42.87,4,2,6.911690158753861,website
28,5.55,657.0,1212.0,42.49,4,1,6.303196057420489,website
29,105.6,1820.0,5058.0,44.79,3,1,8.467534113849592,website
31,16.7,1660.0,3385.0,43.64,3,2,7.451018452155457,website
32,124.3,1607.0,2398.0,44.5,2,1,8.43023635341151,website
33,13.4,2075.0,5957.0,43.185,37,20,7.682866795662324,website
34,95.0,3442.0,6323.0,44.57,2,1,8.975073195203102,website
35,17.15,1729.0,3752.0,43.67,4,4,7.586137025230793,website
36,8.72,1609.0,4270.0,43.11,1,1,7.277379974667254,website
37,40.1,2547.0,7897.0,44.71,1,1,8.338934352976384,website
38,71.5,2626.0,4718.0,44.33,2,1,8.616622529455572,website
39,251.8,1700.0,1846.0,45.53,1,1,8.785678554471911,website
40,70.0,4620.0,10415.0,44.025,15,5,8.607304870773328,website
41,6.64,1610.0,3277.0,42.05,5,1,7.15956719323362,website
42,79.6,1276.0,2715.0,44.13,2,1,8.036349388031837,website
43,16.25,1535.5,2080.0,44.14,2,2,7.432969290874405,website
44,7.65,1365.0,1617.5,43.44,7,2,6.989004615698537,website
45,15.8,3299.0,7594.5,,2,2,8.101918833680424,website
46,12.6,3321.0,5054.0,,1,1,8.066624050983426,website
47,10.4,2020.0,3355.0,,3,1,7.551449997972875,website
48,3.86,1590.0,2260.0,,4,1,6.913283901760418,website
50,5.7,1506.0,3236.0,,4,1,7.035429738184548,website
54,3.01,1725.0,,,1,1,6.875639937004168,website
62,5.3,664.5,1422.0,,1,1,6.2944662261615925,website
64,13.53,770.0,1511.0,,3,1,6.828015064223977,website
65,2.21,1544.0,4615.0,,4,1,6.645422269349092,website
75,1.4,783.7,1309.7,41.97,3,1,5.857332496431269,website
76,15.7,1466.0,4475.0,43.28,3,1,7.452399845911442,website
77,4.3,2424.0,6489.0,42.61,3,1,7.328175661438323,website
78,40.5,4552.0,11549.0,43.79,3,1,8.847480114947018,website
79,14.8,1329.0,3094.0,43.75,3,1,7.342225229360791,website
82,43.9,1489.0,3149.0,,1,1,7.911956189072687,website
83,66.6,547.0,970.0,,1,1,7.223236273102998,website
84,28.6,987.0,1605.0,,1,1,7.368658712392227,website
85,26.4,845.0,1661.0,,1,1,7.198931869932209,website
86,26.8,1195.0,1247.0,,1,1,7.506640305566503,website
87,12.4,1234.0,1642.0,,1,1,7.199755177253475,website
88,19.9,1126.0,1626.0,,1,1,7.325720858019412,website
89,19.0,838.0,1526.0,,1,1,7.04883008652835,website
90,32.2,1173.0,2555.0,,1,1,7.570192561095726,website
91,27.7,1386.0,2237.0,,1,1,7.649724185929522,website
92,8.1,668.0,939.0,,3,1,6.478566495593843,website
95,12.65,1860.0,3406.0,43.52,1,1,7.564784384503986,website
