Line,JD Range (days),τJAV (days),τJAV Ref.,τcent (days),τpeak (days),σline (km s-1),FWHM (km s-1),RM Ref(s),"log LAGN,5100 (ergs s-1)",L Ref.,varname,object_name,alternate_names,ra,dec,z,dl_mpc,da_mpc,f_used,mbh_hbeta_only,mbh_all_lines,mbh_rm_modeling,mbh_rm_ref,source_url,τJAV (days)_val,τJAV (days)_plus,τJAV (days)_minus,τcent (days)_val,τcent (days)_plus,τcent (days)_minus,τpeak (days)_val,τpeak (days)_plus,τpeak (days)_minus,σline (km s-1)_val,σline (km s-1)_plus,σline (km s-1)_minus,FWHM (km s-1)_val,FWHM (km s-1)_plus,FWHM (km s-1)_minus,"log LAGN,5100 (ergs s-1)_val","log LAGN,5100 (ergs s-1)_plus","log LAGN,5100 (ergs s-1)_minus",mbh_hbeta_only_mantissa,mbh_hbeta_only_plus_mant,mbh_hbeta_only_minus_mant,mbh_hbeta_only_exp,mbh_hbeta_only_msun_val,mbh_hbeta_only_msun_plus,mbh_hbeta_only_msun_minus,mbh_hbeta_only_log10_val,mbh_hbeta_only_log10_plus,mbh_hbeta_only_log10_minus,mbh_all_lines_mantissa,mbh_all_lines_plus_mant,mbh_all_lines_minus_mant,mbh_all_lines_exp,mbh_all_lines_msun_val,mbh_all_lines_msun_plus,mbh_all_lines_msun_minus,mbh_all_lines_log10_val,mbh_all_lines_log10_plus,mbh_all_lines_log10_minus,mbh_rm_modeling_mantissa,mbh_rm_modeling_plus_mant,mbh_rm_modeling_minus_mant,mbh_rm_modeling_exp,mbh_rm_modeling_msun_val,mbh_rm_modeling_msun_plus,mbh_rm_modeling_msun_minus,mbh_rm_modeling_log10_val,mbh_rm_modeling_log10_plus,mbh_rm_modeling_log10_minus,jd_start,jd_end,jd_span,jd_mid,target_hbeta_log10,target_hbeta_source,hbeta_row_computed_log10
Fe II opt,56222 - 56328,,,26.8 (+ 2.9/- 2.5),,,,"Hu et al. 2015 ApJ, 804, 138",,,1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,,,,26.8,2.9,2.5,,,,,,,,,,,,,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,56222.0,56328.0,106.0,56275.0,7.2224563366792465,website,
He II λ4686,55431 - 55569,1.6 (+ 0.7/- 0.5),"Grier et al. 2012 ApJ, 744, L4",2.7 (+ 0.6/- 0.6),2.1 (+ 1.2/- 1.2),3001 (+/- 277),7380 (+/- 1275),"Grier et al. 2012 ApJ, 744, L4",43.68 (+/- 0.06),"Bentz et al. 2013 ApJ, 767, 149",1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,1.6,0.7,0.5,2.7,0.6,0.6,2.1,1.2,1.2,3001.0,277.0,277.0,7380.0,1275.0,1275.0,43.68,0.06,0.06,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,55431.0,55569.0,138.0,55500.0,7.2224563366792465,website,
Hβ λ4861,49156 - 49338,15.3 (+ 3.6/- 2.2),"Zu et al. 2011 ApJ, 735, 80",16.8 (+ 4.8/- 4.2),18.0 (+ 5.0/- 6.0),917 (+/- 52),1629 (+/- 145),"Peterson et al. 1998 ApJ, 501, 82 Peterson et al. 2004 ApJ, 613, 682",43.70 (+/- 0.06),"Bentz et al. 2013 ApJ, 767, 149",1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,15.3,3.6,2.2,16.8,4.8,4.2,18.0,5.0,6.0,917.0,52.0,52.0,1629.0,145.0,145.0,43.7,0.06,0.06,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,49156.0,49338.0,182.0,49247.0,7.2224563366792465,website,7.073926087213735
Hβ λ4861,49889 - 50118,12.9 (+ 3.6/- 5.0),"Zu et al. 2011 ApJ, 735, 80",12.5 (+ 6.6/- 5.5),13.0 (+ 9.0/- 7.0),948 (+/- 113),1375 (+/- 357),"Peterson et al. 1998 ApJ, 501, 82 Peterson et al. 2004 ApJ, 613, 682",43.78 (+/- 0.05),"Bentz et al. 2013 ApJ, 767, 149",1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,12.9,3.6,5.0,12.5,6.6,5.5,13.0,9.0,7.0,948.0,113.0,113.0,1375.0,357.0,357.0,43.78,0.05,0.05,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,49889.0,50118.0,229.0,50003.5,7.2224563366792465,website,6.974404821832019
Hβ λ4861,55431 - 55569,14.1 (+ 0.4/- 0.4),"Grier et al. 2012 ApJ, 755, 60",14.3 (+ 0.7/- 0.7),14.0 (+ 0.9/- 0.9),1293 (+/- 64),1025 (+/- 35),"Grier et al. 2012 ApJ, 755, 60",43.68 (+/- 0.06),"Bentz et al. 2013 ApJ, 767, 149",1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,14.1,0.4,0.4,14.3,0.7,0.7,14.0,0.9,0.9,1293.0,64.0,64.0,1025.0,35.0,35.0,43.68,0.06,0.06,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,55431.0,55569.0,138.0,55500.0,7.2224563366792465,website,7.30241122137368
Hβ λ4861,56222 - 56328,,,8.7 (+ 1.6/- 1.9),8.2 (+ 4.4/- 1.1),,1418 (+/- 118),"Du et al. 2014 ApJ, 782, 45 Hu et al. 2015 ApJ, 804, 138",,,1,Mrk335,PG0003+199,00:06:19.5,+20:12:10,0.02579,109.5,104.1,4.3,1.669 ( ^+ 0.179 / _- 0.171 ) (10 ^7 M _sun ),1.699 ( ^+ 0.171 / _- 0.164 ) (10 ^7 M _sun ),1.780 ( ^+ 0.460 / _- 0.366 ) (10 ^7 M _sun ),"Grier et al. 2017 ApJ, 849, 146",https://www.astro.gsu.edu/AGNmass/details.php?varname=1,,,,8.7,1.6,1.9,8.2,4.4,1.1,,,,1418.0,118.0,118.0,,,,1.669,0.179,0.171,7.0,16690000.0,18480000.0,14980000.0,7.2224563366792465,0.0442456302048412,0.0469445233157985,1.699,0.171,0.164,7.0,16990000.0,18700000.0,15350000.000000002,7.230193378869045,0.0416482276674532,0.0440849990558396,1.78,0.46,0.366,7.0,17800000.0,22400000.000000004,14140000.000000002,7.250420002308894,0.0998280160252695,0.0999705928480132,56222.0,56328.0,106.0,56275.0,7.2224563366792465,website,
Hγ λ4340,48461 - 51084,154.9 (+ 1.9/- 1.9),"Zu et al. 2011 ApJ, 735, 80",81.6 (+19.5/-15.9),65.0 (+10.0/- 6.0),2230 (+/- 502),5633 (+/- 3585),"Kaspi et al. 2000 ApJ, 533, 631 Peterson et al. 2004 ApJ, 613, 682",44.75 (+/- 0.03),"Bentz et al. 2013 ApJ, 767, 149",2,PG0052+251,,00:54:52.1,+25:25:38,0.15445,715.9,537.2,4.3,23.950 ( ^+ 6.931 / _- 6.830 ) (10 ^7 M _sun ),28.955 ( ^+ 6.079 / _- 5.649 ) (10 ^7 M _sun ),,,https://www.astro.gsu.edu/AGNmass/details.php?varname=2,154.9,1.9,1.9,81.6,19.5,15.9,65.0,10.0,6.0,2230.0,502.0,502.0,5633.0,3585.0,3585.0,44.75,0.03,0.03,23.95,6.931,6.83,7.0,239500000.0,308810000.0,171199999.99999997,8.379305517750582,0.110385837625877,0.1458017574094476,28.955,6.079,5.649,7.0,289550000.0,350340000.0,233060000.0,8.461723569269394,0.0827661563655368,0.0942558271514197,,,,,,,,,,,48461.0,51084.0,2623.0,49772.5,8.379305517750582,website,
Hβ λ4861,48461 - 51084,149.3 (+ 4.2/- 1.8),"Zu et al. 2011 ApJ, 735, 80",89.8 (+24.5/-24.1),68.0 (+16.0/-12.0),1783 (+/- 86),4165 (+/- 381),"Kaspi et al. 2000 ApJ, 533, 631 Peterson et al. 2004 ApJ, 613, 682",44.75 (+/- 0.03),"Bentz et al. 2013 ApJ, 767, 149",2,PG0052+251,,00:54:52.1,+25:25:38,0.15445,715.9,537.2,4.3,23.950 ( ^+ 6.931 / _- 6.830 ) (10 ^7 M _sun ),28.955 ( ^+ 6.079 / _- 5.649 ) (10 ^7 M _sun ),,,https://www.astro.gsu.edu/AGNmass/details.php?varname=2,149.3,4.2,1.8,89.8,24.5,24.1,68.0,16.0,12.0,1783.0,86.0,86.0,4165.0,381.0,381.0,44.75,0.03,0.03,23.95,6.931,6.83,7.0,239500000.0,308810000.0,171199999.99999997,8.379305517750582,0.110385837625877,0.1458017574094476,28.955,6.079,5.649,7.0,289550000.0,350340000.0,233060000.0,8.461723569269394,0.0827661563655368,0.0942558271514197,,,,,,,,,,,48461.0,51084.0,2623.0,49772.5,8.379305517750582,website,8.379457157165843
Hα λ6563,48837 - 51084,157.6 (+ 2.3/- 2.8),"Zu et al. 2011 ApJ, 735, 80",163.7 (+58.5/-38.3),168.0 (+82.0/-77.0),1913 (+/- 85),,"Kaspi et al. 2000 ApJ, 533, 631 Peterson et al. 2004 ApJ, 613, 682",,,2,PG0052+251,,00:54:52.1,+25:25:38,0.15445,715.9,537.2,4.3,23.950 ( ^+ 6.931 / _- 6.830 ) (10 ^7 M _sun ),28.955 ( ^+ 6.079 / _- 5.649 ) (10 ^7 M _sun ),,,https://www.astro.gsu.edu/AGNmass/details.php?varname=2,157.6,2.3,2.8,163.7,58.5,38.3,168.0,82.0,77.0,1913.0,85.0,85.0,,,,,,,23.95,6.931,6.83,7.0,239500000.0,308810000.0,171199999.99999997,8.379305517750582,0.110385837625877,0.1458017574094476,28.955,6.079,5.649,7.0,289550000.0,350340000.0,233060000.0,8.461723569269394,0.0827661563655368,0.0942558271514197,,,,,,,,,,,48837.0,51084.0,2247.0,49960.5,8.379305517750582,website,
Lyα λ1216,50473 - 50713,12.1 (+ 0.5/- 0.5),"Zu et al. 2011 ApJ, 735, 80",11.9 (+ 5.8/- 5.6),9.0 (+ 6.0/- 6.0),4120 (+/- 308),3503 (+/- 1474),"Rodriguez-Pascual et al. 1997 ApJ, 110, 9 Peterson et al. 2004 ApJ, 613, 682",43.92 (+/- 0.05),"Bentz et al. 2013 ApJ, 767, 149",3,Fairall9,,01:23:45.8,-58:48:21,0.04702,202.8,185.0,4.3,20.935 ( ^+ 4.423 / _- 5.613 ) (10 ^7 M _sun ),19.904 ( ^+ 3.937 / _- 4.662 ) (10 ^7 M _sun ),,,https://www.astro.gsu.edu/AGNmass/details.php?varname=3,12.1,0.5,0.5,11.9,5.8,5.6,9.0,6.0,6.0,4120.0,308.0,308.0,3503.0,1474.0,1474.0,43.92,0.05,0.05,20.935,4.423,5.613,7.0,209350000.0,253580000.0,153220000.0,8.320872965227249,0.0832420322783473,0.1355575072235915,19.904,3.937,4.662,7.0,199040000.0,238410000.0,152420000.0,8.298940363010725,0.0783841047258295,0.1158984057200864,,,,,,,,,,,50473.0,50713.0,240.0,50593.0,8.320872965227249,website,
